,OverallQual,GrLivArea,GarageCars,YearBuilt,GarageArea,FullBath,TotalBsmtSF,ExterQual_E,BsmtQual_E,KitchenQual_E,Neighborhood_E,GarageFinish_E,OverallQual2,YearBuilt2,TotalBsmtSF2,Neighborhood_E2,GrLivArea2,SalePrice
0,7,7.444833273892193,2,2003,6.3080984415095305,2,856,3.0,4.0,3.0,17.0,3.0,49,4012009,732736,289.0,55.42554247605236,208500
1,6,7.141245122350491,2,1976,6.133398042996649,2,1262,2.0,4.0,2.0,21.0,3.0,36,3904576,1592644,441.0,50.997381897494684,181500
2,7,7.488293515159428,2,2001,6.411818267709897,2,920,3.0,4.0,3.0,17.0,3.0,49,4004001,846400,289.0,56.074539769178735,223500
3,7,7.4489161025442,3,1915,6.466144724237619,1,756,2.0,3.0,3.0,18.0,2.0,49,3667225,571536,324.0,55.48635110274228,140000
4,8,7.695757990554761,3,2000,6.729824070489475,2,1145,3.0,4.0,3.0,25.0,3.0,64,4000000,1311025,625.0,59.224691049187456,250000
5,5,7.217443431696533,2,1993,6.175867270105761,1,796,2.0,4.0,2.0,12.0,2.0,25,3972049,633616,144.0,52.091489689739426,143000
6,8,7.43543801981455,2,2004,6.456769655572163,2,1686,3.0,5.0,3.0,20.0,3.0,64,4016016,2842596,400.0,55.28573854650372,307000
7,7,7.645397699428633,2,1973,6.184148890937483,2,1107,2.0,4.0,2.0,14.0,3.0,49,3892729,1225449,196.0,58.45210598242864,200000
8,7,7.4815557019095165,2,1931,6.150602768446279,2,952,2.0,3.0,2.0,6.0,2.0,49,3728761,906304,36.0,55.9736757207748,129900
9,5,6.982862751468942,1,1939,5.327876168789581,1,991,2.0,3.0,2.0,4.0,3.0,25,3759721,982081,16.0,48.760372205852406,118000
10,5,6.947937068614969,1,1965,5.953243334287785,1,1040,2.0,3.0,2.0,7.0,2.0,25,3861225,1081600,49.0,48.27382950943397,129500
11,9,7.751475318021456,3,2005,6.602587892189336,3,1175,4.0,5.0,4.0,24.0,4.0,81,4020025,1380625,576.0,60.08536960589584,345000
12,5,6.816735880594968,1,1962,5.8664680569332965,1,912,2.0,3.0,2.0,7.0,2.0,25,3849444,831744,49.0,46.46788806579085,144000
13,7,7.3098814858247865,3,2006,6.734591659972948,2,1494,3.0,4.0,3.0,17.0,3.0,49,4024036,2232036,289.0,53.43436733680399,279500
14,6,7.134093721192866,1,1960,5.8664680569332965,1,1253,2.0,3.0,2.0,11.0,3.0,36,3841600,1570009,121.0,50.89529322276348,157000
