,OverallQual,GrLivArea,GarageCars,YearBuilt,GarageArea,FullBath,TotalBsmtSF,ExterQual_E,BsmtQual_E,KitchenQual_E,Neighborhood_E,GarageFinish_E,GarageType_E,Foundation_E,OverallQual2,TotalBsmtSF2,Neighborhood_E2
0,7,7.444833273892193,2,2003,6.3080984415095305,2,6.75343791859778,3.0,4.0,3.0,17.0,3.0,6.0,6.0,49,45.60892372035431,289.0
1,6,7.141245122350491,2,1976,6.133398042996649,2,7.141245122350491,2.0,4.0,2.0,21.0,3.0,6.0,3.0,36,50.997381897494684,441.0
2,7,7.488293515159428,2,2001,6.411818267709897,2,6.825460036255307,3.0,4.0,3.0,17.0,3.0,6.0,6.0,49,46.5869047065183,289.0
3,7,7.4489161025442,3,1915,6.466144724237619,1,6.6293632534374485,2.0,3.0,3.0,18.0,2.0,3.0,2.0,49,43.948457146026755,324.0
4,8,7.695757990554761,3,2000,6.729824070489475,2,7.044032897274685,3.0,4.0,3.0,25.0,3.0,6.0,6.0,64,49.618399457887996,625.0
5,5,7.217443431696533,2,1993,6.175867270105761,1,6.680854678790215,2.0,4.0,2.0,12.0,2.0,6.0,5.0,25,44.63381923911311,144.0
6,8,7.43543801981455,2,2004,6.456769655572163,2,7.430707082545968,3.0,5.0,3.0,20.0,3.0,6.0,6.0,64,55.215407746598814,400.0
7,7,7.645397699428633,2,1973,6.184148890937483,2,7.010311867307229,2.0,4.0,2.0,14.0,3.0,6.0,3.0,49,49.144472476908575,196.0
8,7,7.4815557019095165,2,1931,6.150602768446279,2,6.859614903654202,2.0,3.0,2.0,6.0,2.0,3.0,2.0,49,47.05431662643485,36.0
9,5,6.982862751468942,1,1939,5.327876168789581,1,6.899723107284872,2.0,3.0,2.0,4.0,3.0,6.0,2.0,25,47.60617895720081,16.0
10,5,6.947937068614969,1,1965,5.953243334287785,1,6.947937068614969,2.0,3.0,2.0,7.0,2.0,3.0,3.0,25,48.27382950943397,49.0
11,9,7.751475318021456,3,2005,6.602587892189336,3,7.069874128458572,4.0,5.0,4.0,24.0,4.0,7.0,6.0,81,49.98312019224785,576.0
12,5,6.816735880594968,1,1962,5.8664680569332965,1,6.816735880594968,2.0,3.0,2.0,7.0,2.0,3.0,3.0,25,46.46788806579085,49.0
13,7,7.3098814858247865,3,2006,6.734591659972948,2,7.3098814858247865,3.0,4.0,3.0,17.0,3.0,6.0,6.0,49,53.43436733680399,289.0
14,6,7.134093721192866,1,1960,5.8664680569332965,1,7.134093721192866,2.0,3.0,2.0,11.0,3.0,6.0,3.0,36,50.89529322276348,121.0
15,7,6.75110146893676,2,1929,6.3578422665081,1,6.725033642166843,2.0,3.0,2.0,4.0,2.0,3.0,2.0,49,45.226077488275834,16.0
16,6,6.912742820493176,2,1970,6.175867270105761,1,6.912742820493176,2.0,3.0,2.0,11.0,4.0,6.0,3.0,36,47.786013302279954,121.0
17,4,7.167809184316444,2,1967,6.248042874508429,2,0.0,2.0,1.0,2.0,7.0,2.0,2.0,1.0,16,0.0,49.0
18,5,7.016609683894219,2,2004,6.3578422665081,1,7.016609683894219,2.0,3.0,3.0,13.0,2.0,3.0,6.0,25,49.232811456118135,169.0
19,5,7.200424892944957,1,1958,5.68697535633982,1,6.937314081223682,2.0,3.0,2.0,11.0,2.0,6.0,3.0,25,48.126326661544375,121.0
20,8,7.773594467360194,3,2005,6.74993119378857,3,7.055312843339752,3.0,5.0,3.0,24.0,3.0,7.0,6.0,64,49.77743931739485,576.0
21,7,7.011213987350367,1,1930,5.638354669333745,1,6.45833828334479,2.0,3.0,3.0,2.0,2.0,6.0,6.0,49,41.71013338211693,4.0
22,8,7.493317248862145,2,2002,6.282266746896006,2,7.48324441607385,3.0,4.0,3.0,17.0,3.0,6.0,6.0,64,55.99894699070046,289.0
23,5,6.966967138613983,2,1976,6.35088571671474,1,6.947937068614969,2.0,4.0,2.0,1.0,2.0,6.0,6.0,25,48.27382950943397,1.0
24,5,6.966967138613983,1,1968,5.602118820879701,1,6.966967138613983,2.0,3.0,3.0,7.0,2.0,6.0,3.0,25,48.538631110527106,49.0
25,8,7.3783837129967145,3,2007,6.792344427470809,2,7.356918242356021,3.0,4.0,3.0,24.0,3.0,6.0,6.0,64,54.12424602471081,576.0
26,5,6.803505257608338,2,1951,6.3578422665081,1,6.803505257608338,2.0,3.0,3.0,11.0,2.0,3.0,3.0,25,46.28768379030429,121.0
27,8,7.4413203897176174,3,2007,6.650279048587422,2,7.4413203897176174,3.0,5.0,3.0,24.0,3.0,6.0,6.0,64,55.373249142427156,576.0
28,5,7.3783837129967145,1,1957,5.768320995793772,1,7.3031700512368,2.0,3.0,2.0,11.0,3.0,6.0,3.0,25,53.33629279728213,121.0
29,4,6.255750041753367,1,1927,5.484796933490655,1,6.255750041753367,2.0,3.0,1.0,4.0,2.0,3.0,2.0,16,39.13440858489725,16.0
30,4,7.183870715062453,1,1920,5.5254529391317835,1,6.476972362889683,2.0,3.0,2.0,2.0,2.0,3.0,2.0,16,41.95117098963676,4.0
31,5,7.113956109566034,1,1966,5.605802066295998,1,7.113956109566034,2.0,3.0,3.0,7.0,2.0,6.0,3.0,25,50.60837152883191,49.0
32,8,7.118826249062078,2,2007,6.184148890937483,2,7.118826249062078,3.0,5.0,3.0,17.0,3.0,6.0,6.0,64,50.677687164335254,289.0
33,5,7.438971592395862,2,1959,6.104793232414985,1,7.243512974665482,2.0,3.0,3.0,11.0,3.0,6.0,3.0,25,52.46848021414717,121.0
34,9,7.3537223303996315,2,2005,6.322565239927284,2,7.3537223303996315,4.0,5.0,4.0,24.0,4.0,6.0,6.0,81,54.07723211261819,576.0
35,8,7.8050670442584895,3,2004,6.539585955617669,3,7.0192966537150445,3.0,5.0,3.0,24.0,4.0,7.0,6.0,64,49.27052551285522,576.0
36,5,7.001245622069476,2,1994,6.511745329644728,1,7.001245622069476,2.0,4.0,2.0,17.0,2.0,6.0,6.0,25,49.017440260547005,289.0
37,5,7.168579897264035,2,1954,6.212606095751519,1,7.168579897264035,2.0,3.0,2.0,11.0,4.0,6.0,3.0,25,51.38853774345804,121.0
38,5,6.964135612418245,1,1953,5.5093883366279774,1,6.964135612418245,2.0,3.0,3.0,11.0,2.0,3.0,3.0,25,48.49918482815204,121.0
39,4,7.050122520269059,0,1955,0.0,2,0.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,16,0.0,25.0
40,6,7.1891677384203225,2,1965,6.089044875446846,2,6.9930151229329605,2.0,3.0,2.0,11.0,3.0,6.0,3.0,36,48.90226050956909,121.0
41,5,7.192182058713246,1,1959,5.733341276897746,1,7.208600337960199,2.0,3.0,2.0,22.0,3.0,6.0,3.0,25,51.963918832439894,484.0
42,5,6.785587645007929,2,1983,6.22455842927536,1,6.734591659972948,2.0,4.0,3.0,13.0,3.0,6.0,3.0,25,45.35472482657719,169.0
43,5,6.844815479208263,1,1975,5.733341276897746,1,6.844815479208263,2.0,4.0,2.0,17.0,2.0,3.0,3.0,25,46.851498944409045,289.0
44,5,7.048386408721883,1,1959,5.707110264748875,1,7.048386408721883,2.0,3.0,2.0,11.0,3.0,6.0,3.0,25,49.67975096665536,121.0
45,9,7.469083884921234,2,2005,6.3578422665081,2,7.469083884921234,4.0,5.0,4.0,24.0,3.0,6.0,6.0,81,55.78721407999008,576.0
46,7,7.673223121121708,2,2003,6.508769136971682,1,7.268920128193722,3.0,5.0,3.0,12.0,3.0,6.0,6.0,49,52.83719983005984,144.0
47,8,7.4127640174265625,3,2006,6.717804695023691,2,7.4127640174265625,3.0,4.0,3.0,20.0,3.0,6.0,6.0,64,54.94907037805399,400.0
48,4,7.2813856635702825,0,1920,0.0,2,6.602587892189336,2.0,3.0,2.0,6.0,1.0,1.0,2.0,16,43.594166874085225,36.0
49,5,6.862757913051401,1,1966,5.958424693029782,1,6.862757913051401,2.0,3.0,2.0,7.0,2.0,6.0,3.0,25,47.09744617314962,49.0
50,6,7.293697720601438,2,1997,5.963579343618446,2,6.678342114654332,2.0,4.0,2.0,15.0,4.0,6.0,6.0,36,44.600253400365695,225.0
51,6,7.0707241072602764,2,1934,6.270988431858299,1,6.705639094860003,2.0,3.0,2.0,4.0,2.0,3.0,6.0,36,44.96559567051488,16.0
52,5,6.705639094860003,2,1963,6.248042874508429,1,6.705639094860003,1.0,4.0,2.0,2.0,2.0,2.0,3.0,25,44.96559567051488,4.0
53,9,7.519149957669823,3,1981,6.796823718274855,0,7.519149957669823,3.0,5.0,3.0,21.0,4.0,6.0,3.0,81,56.5376160859261,441.0
54,5,7.215975002651466,2,1955,6.35088571671474,1,5.953243334287785,2.0,3.0,2.0,11.0,2.0,3.0,3.0,25,35.441106197241936,121.0
55,6,7.262628600974241,2,1964,6.3578422665081,2,7.262628600974241,2.0,3.0,2.0,11.0,3.0,6.0,3.0,36,52.745774195689066,121.0
56,8,7.461640392208575,2,1999,6.175867270105761,2,6.878326468291325,3.0,4.0,3.0,20.0,4.0,6.0,6.0,64,47.311375004397014,400.0
57,7,7.450660796211539,2,2004,6.338594078203183,2,6.7580945044277305,3.0,4.0,3.0,17.0,3.0,6.0,6.0,49,45.671841330776296,289.0
58,10,7.988203597022576,3,2006,6.464588303689961,3,7.252053951852814,4.0,5.0,3.0,23.0,4.0,7.0,6.0,100,52.592286520584025,529.0
59,5,6.660575149839686,1,1972,5.8664680569332965,1,6.660575149839686,2.0,3.0,2.0,17.0,2.0,3.0,3.0,25,44.363261326661956,289.0
60,6,7.055312843339752,2,2004,6.3578422665081,1,7.055312843339752,2.0,4.0,3.0,13.0,2.0,3.0,6.0,36,49.77743931739485,169.0
61,5,7.013915474810528,1,1920,5.666426688112432,1,6.274762021241939,2.0,3.0,1.0,2.0,2.0,3.0,2.0,25,39.372638423220224,4.0
62,8,7.223295679562314,2,2006,6.184148890937483,2,7.223295679562314,3.0,4.0,3.0,24.0,3.0,6.0,6.0,64,52.17600047438359,576.0
63,7,7.444833273892193,2,1921,6.175867270105761,2,6.3578422665081,2.0,3.0,2.0,6.0,2.0,3.0,2.0,49,40.422158285796854,36.0
64,7,7.618251097876695,2,1997,6.470799503782602,2,6.964135612418245,2.0,4.0,3.0,17.0,3.0,6.0,6.0,49,48.49918482815204,289.0
65,8,7.813591552952433,3,2004,6.748759547491679,2,7.042286171939743,3.0,5.0,3.0,24.0,3.0,7.0,6.0,64,49.59379452749372,576.0
66,7,7.699842407396986,2,1970,6.3578422665081,2,7.5745584842024805,2.0,4.0,2.0,11.0,3.0,6.0,3.0,49,57.37393623060378,121.0
67,7,7.299797366758161,2,2003,6.326149473155099,2,7.282073658093465,3.0,4.0,3.0,17.0,3.0,6.0,6.0,49,53.02859676189873,289.0
68,4,6.617402977974478,1,1945,5.3981627015177525,1,6.617402977974478,2.0,3.0,2.0,6.0,2.0,6.0,3.0,16,43.79002217290549,36.0
69,7,7.7354333524996886,2,1953,6.504288173536645,2,7.173958319756794,3.0,3.0,2.0,19.0,4.0,6.0,3.0,49,51.465677973607725,361.0
70,7,7.707062655370473,2,1973,6.248042874508429,2,7.707062655370473,2.0,4.0,2.0,11.0,4.0,6.0,3.0,49,59.398814773806166,121.0
71,4,6.740519359606223,2,1982,5.8888779583328805,1,6.740519359606223,2.0,3.0,2.0,12.0,2.0,3.0,3.0,16,45.43460123722629,144.0
72,7,7.449498005382849,2,1998,6.059123195581797,2,6.725033642166843,2.0,4.0,2.0,15.0,4.0,6.0,6.0,49,45.226077488275834,225.0
73,5,6.99117688712121,2,1954,6.19644412779452,1,6.99117688712121,2.0,3.0,2.0,11.0,2.0,6.0,3.0,25,48.87655426701781,121.0
74,3,7.381501894506707,1,1915,5.940171252720432,2,6.734591659972948,3.0,2.0,2.0,6.0,2.0,3.0,3.0,9,45.35472482657719,36.0
75,4,6.8966943316227125,1,1973,5.697093486505405,1,6.137727054086234,2.0,4.0,2.0,1.0,2.0,7.0,3.0,16,37.67169339046208,1.0
76,4,6.859614903654202,1,1956,5.648974238161206,1,6.859614903654202,2.0,3.0,2.0,11.0,2.0,3.0,3.0,16,47.05431662643485,121.0
